review,Hotel#General,Hotel#Price,Hotel#Designs_Features,Hotel#Cleanliness,Hotel#Comfort,Hotel#Quality,Hotel#Miscellaneous,Rooms#General,Rooms#Price,Rooms#Designs_Features,Rooms#Cleanliness,Rooms#Comfort,Rooms#Quality,Rooms#Miscellaneous,Room_amenities#General,Room_amenities#Price,Room_amenities#Designs_Features,Room_amenities#Cleanliness,Room_amenities#Comfort,Room_amenities#Quality,Room_amenities#Miscellaneous,Facilities#General,Facilities#Price,Facilities#Designs_Features,Facilities#Cleanliness,Facilities#Comfort,Facilities#Quality,Facilities#Miscellaneous,Service#General,Location#General,Food_Drinks#Price,Food_Drinks#Quality,Food_Drinks#Style_Options,Food_Drinks#Miscellaneous
"Khách sạn rất ok! Hồ bơi rất đã !! Nhưng giá có vẻ hơi đắt, bù lại chất lượng không chê được! Chấm cho 8d !! Khách sạn toàn người nước ngoài nên đi phan thiết mà tưởng đang ở Nga 😂😂😂",Positive,,,,,,,,,,,,,,,,,,,,,,Negative,Positive,,,Positive,,,,,,,
"Hotel có nhà tắm thoát nước chậm, gây đọng nước trên sàn, nhận phòng không đúng thời gian, mất điện 3h.",,,,,,,Negative,,,,,,,,,,Negative,,,,,,,,,,,,Negative,,,,,
"Mình book phòng ban công nhưng được up thành phòng căn hộ 2 phòng ngủ để trải nghiệm. Siêu đẹp và siêu đã luôn mọi người ơi Vừa bước vào ngay quầy lễ tân là thơm phức mùi hoa lyly rất là dễ chịu á. Lễ tân rất lịch sự và đáng yêu nha, có hỗ trợ cho thuê phòng nhỏ cho các bạn đến Đà Lạt sớm 3,4h sáng á rồi đợi trưa nhận checkin phòng của mình nè. Quên mất chụp bên ngoài sảnh rồi. Chỉ có ảnh phòng căn hộ 4 người nhà mình ở nè Có quay video nhưng ở đây không cho add video để mn xem rõ hơn được. Đi mấy bước là tới chợ Đà Lạt luôn á. Nói chung là recommend mọi người nên ở thử nha.",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Mình đặt nhầm ngày nhưng khách sạn đã hỗ trợ nhiệt tình, đánh giá tốt cho khách sạn",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn không quá xa trung tâm, thuận tiện di chuyển, nội thất tối giản/hiện đại, phòng sạch sẽ, nhân viên nhiệt tình, Xe máy cho khách thuê khá mới, sử dụng tốt. Sẽ tiếp tục quay lại lần tới du lịch Đà Lạt :)",Positive,,,,,,,,,Positive,Positive,,,,,,,,,,,,,Positive,,,Positive,,Positive,Positive,,,,
"Kh nhỏ nhắn nhưng được cái sạch sẽ tươm tất, giá phòng ok luôn",,,Negative,Positive,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,
"Kháchsạn phục vụ vui vẻ nhiệt tình,phòng đẹp, nhung di chuyển xuống biển thi hoi xa, vi không có xe thương xuyên.",,,,,,,,,,Positive,,,,,,,,,,,,,,Negative,,,,,Positive,Negative,,,,
"Resort có trồng nhiều hoa, chăm chút cẩn thận rất đẹp, phòng có bình nước lớn thay vì 2 hoặc 4 chai nước như những nơi khác, tuy nhiên bữa sáng ít món và nấu không ngon",,,Positive,,,,,,,,,,,,,,Positive,,,,Neutral,,,,,,,,,,,Negative,Negative,
Khách sạn sạch sẽ nhân viên nhiệt tình,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Cửa sổ vỡ, phải chuyển phòng nhiều lần",,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,
"Căn hộ mới, tiện nghi, an toàn , yên tĩnh, có hồ bơi vô cực, khu vui chơi trẻ em miễn phí. Lần sau mình sẽ ủng hộ",Positive,,Positive,,Positive,,,,,,,,,,,,,,,,,,Positive,Positive,,,,,,,,,,
"Phòng rất ổn với mức giá, yên tĩnh, ngay khu vực trung tâm, tiện đi lại và đến các quán cafe lân cận. Chị lễ tân và chú bảo vệ dễ thương.",,,,,,,,Positive,Positive,,,Positive,,,,,,,,,,,,,,,,,Positive,Positive,,,,
Phòng sạch sẽ mọi thứ đều tốt nhưng không hài lòng về cô vệ sinh phòng. Chăn và ga giường còn ẩm và bay mùi khó chịu mình có gọi lễ tân để thay nhưng khi cô vệ sinh phòng vào thì có thái độ không muốn thay. Mình rất khó chịu vì việc khách sạn sử dụng khoá thẻ từ mà cô dọn phòng không lịch sự gõ cửa xem trong phòng có khách ở hay không mà tự quẹt thẻ vào trong khi mình đang ở trong phòng. Hi vọng khách sạn nhắc nhở cô để cô làm việc được chuyên nghiệp hơn.,,,,,,,,Positive,,,Positive,,,,,,,Negative,,,,,,,,,,,Negative,,,,,
Khách sạn rất sạch và đẹp. Nhân viên dễ thương và nhiệt tình. Chuẩn 4 sao,Positive,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng ốc thoải mái rộng rãi, cạnh bên khách sạn có quán cơm bình dân rất ngon đáng thử",,,,,,,Positive,,,Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,
"Khách sạn sạch sẽ, nhân viên thân thiện, sẽ quay lại đây nếu có dịp",Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn có khuôn viên rộng, hồ bơi và khu vực biển ổn. Gia đình tôi đặt 2 phòng khách sạn và 1 bungalow. Khu vực khách sạn ổn, sạch đẹp; tuy nhiên, bungalow nội thất cũ và không cách âm nên khá ồn. Đặc biệt, tôi đặt bungalow hướng biển nhưng lại được nhận phòng hướng vườn mà không có giải thích nào. Buffet sáng cũng ít món mà phụ thu 1 ngày là 200K / bé 6 tuổi là khá mắc so với các resort khác.",Positive,,Positive,Positive,,,Positive,Negative,,Negative,,,,,,,,,,,,,,Positive,,,,,,,Negative,,Negative,
"Khuôn viên đẹp, có hồ bơi nước ấm",,,Positive,,,,,,,,,,,,,,,,,,,,,Positive,,Positive,,,,,,,,
"Điểm 10 cho 2 bác bảo vệ thân thiện, nhiệt tình. nhân viên cũng vui vẻ. Giường êm, ngủ ngon đến sáng, nhà wc hơi có mùi và ga giường không được trắng tinh do khách sạn giải thích không dùng thuốc tẩy mạnh. Ok khi ngủ thấy sạch nên cũng yên tâm. Lần sau sẽ quay lại",Positive,,,,,,,,,,,,,,,,,Negative,Positive,Positive,,,,,,,,,Positive,,,,,
"Không có bãi biển riêng để tắm. Phòng cách âm không tốt, quá ồn",,,,,,,,,,Negative,,Negative,,,,,,,,,,,,Negative,,,,,,,,,,
"Đã từng đọc rất nhiều review không tốt về FLC nhưng vẫn cứ đi vì nghĩ hệ thống này quá nổi tiếng, chắc có lẽ cũng không đến nỗi tệ. Tuy nhiên, thật sự là chưa bao giờ trải nghiệm dịch vụ resort hotel nào tệ như thế này. Mình đi mùa này không phải mùa dịch, cũng rất đông khách nên không có lý do nào để thông cảm được cho FLC luôn. - check-in: khách tự vào tự đứng đợi, đợi lâu thì tự tìm chỗ ngồi chứ không có một ai hướng dẫn. Ấn tượng đầu tiên bước vô là tất cả nhân viên mặt ai cũng nghiêm, đi nghỉ dưỡng mà tưởng đi nhầm vào trung tâm hành chính. Không có welcome drink, thấy khách hỏi thì mới kêu nhân viên đưa nước, nhưng sau 30p đợi để check in vẫn không thấy nước đâu. Check-in siêu lâu, thủ tục rườm rà. Ra xe điện về phòng, không có nhân viên xách vali giúp lên phòng, không có lễ tân ở từng khu, cũng không hướng dẫn cách di chuyển ra sao nên như lạc vào mê cung, phải gọi điện lên sảnh chính để hỏi rồi lê lết tìm phòng. - ăn sáng: ở 2 ngày là mình ăn trứng với bánh mì tạm, chứ đồ ăn sáng nghèo nàn mà sắp xếp nhìn chán, không khí thì xô bồ như đi chợ nên cũng không muốn ăn, quầy nước lèo tèo chỉ có sữa tươi, sữa đậu nành, nước cam đóng hộp, cà phê và trà. Và cái nào cũng dở. - đồ ăn tại FLC: ăn tại nhà hàng nhìn decor là chán, mì nguội lạnh, bưng đồ ăn ra mà không có nước chấm, xin tới xin lui mới mang đủ đồ. - nhân viên: đa số đều không biết gật đầu hay mỉm cười chào khách, một số bạn cũng dễ thương nhưng tác phong và cách làm việc lại không chuyên nghiệp, làm cái gì cũng lâu. - cây cối, hồ bơi, cảnh quang đều đã cũ xuống cấp, nhìn hoang tàn. - phòng ốc: rộng, nhưng cơ bản của 1 khách sạn bình thường, với giá tiền thì có thể book 1 phòng đẹp hơn rất nhiều ở resort khác. - không cho mang đồ ăn nước uống ở ngoài vào (nếu kháchsạn biết sẽ phạt 3tr), nên nếu ai đi cả gia đình sẽ khó vui chơi được, phải dùng toàn bộ đồ ăn và nước uống tại resort hết, mà đồ ăn thì dở, ở đó lại xa trung tâm chẳng có gì để ăn. Nói chung là quá tệ!",Negative,,Negative,,,,,,,Neutral,,,,,,,,,,,,,,Negative,,,,,Negative,Negative,,Negative,Negative,
"Phòng mình ở như cái kho, không giống trên hình, không có nổi cái giường chỉ bỏ nệm dưới đất cho mình nằm, rất tiếc mình không chụp lại hình ảnh để up lên cho các bạn xem. Rất tệ, không có tivi và cả điện thoại, lần gia đình mình cần gì phải đi xuống tận lễ tân để gọi họ. Rất bất tiện nhé.",Negative,,,,,,,Negative,,Negative,,,,,,,Negative,,Negative,,,,,,,,,,,,,,,
"Khách sạn thân thiện vui vẻ, buffet sáng cũng rất ok..tuy khách sạn 3 sao nhưng hơi cũ..nhưng vậy cũng quá tuyệt vời rồi",Positive,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,,
"Bữa sáng tuy không nhiều món nhưng khá ổn, riêng mẹ mình thì khá hợp khẩu vị với các món ăn ở đây. Phòng ốc ổn, tuy nhiên còn vương cát và bụi dưới sàn, đi chân không thì chắc chắn phải rửa chân lại. Dịp lại lưu lại ở đây 1 đêm, mình bỏ quên chai dầu tràm của em bé, hôm sau có quay lại hỏi nhưng vẫn không tìm lại được. Còn lại nhìn chung ok, hợp lý với giá tiền, đi bộ ra biển không quá xa, nhìu của hàng tiện lợi và cây ATM bên cạnh resort. Mình sẽ giới thiệu cho bạn bè nếu họ có nhu cầu resort giá bình dân tại Phú Quốc.",Positive,Positive,,,,,,Positive,,,Negative,,,,,,,,,,,,,,,,,,,Positive,,Positive,Negative,
"phòng giống như hình, phục vụ tốt",,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng sạch sẽ - đầy đủ nhưng mà phòng tắm ở đây hơi lỗi nhé, không có sự riêng tư nào 😆 ( nếu lần sau ở mình sẽ không quay lại đây vì cái phòng tắm ) . Nhân biên thân thiện - nhiệt tình. Buffe sáng cũng tạm ổn thôi . Hồ bơi lớn và có bãi biển riêng. Nước uống thoải mái hết thì báo lễ tân đưa lên ( cơ mà mình nghĩ không hết nổi đâu 🤣🤣🤣)",Negative,,,,,,,,,,Positive,,,,,,Neutral,,Negative,,,,,Positive,,,,,Positive,,,Neutral,,
tiếp viên thân thiện. đẹp. sạch. OK lắm nha.,Positive,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Sau vài lần phản ánh về thái độ của lễ tay thì lần sau này tôi thấy đã có nhìu cải thiện. Lễ tân mới thấy đã niềm nở với khách hơn. Tôi cũng đã đọc qua nhìu đánh giá trước đó thấy quá bức xúc với cách làm việc và thái độ của quản lý cũng như lễ tân, không hề có tí thiện cảm nào. Nên tôi mong khách sạn có sự sắp xếp nhân sự đúng đắn hơn để mang lại 1 trải nghiệm tốt nhất cho khách hành. khách sạn 5 sao thì không nên có những nhân sự cau có khó chịu được.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,,,,,
"Phòng nóng, máy lạnh chỉ lạnh 1 giuong",,,,,,,,,,Negative,,,,,,,,,,,,,,,,,Negative,,,,,,,
"Vị trí thuận tiện, nhân viên rất nhiệt tình, thân thiện, phòng sạch sẽ đầy đủ tiện nghi cần thiết.",,,,,,,,,,,Positive,,,,Positive,,,,,,,,,,,,,,Positive,Positive,,,,
"khách sạn sạch sẽ , nhân viên nhiệt tình dễ thương . lần sau ra sẽ vẫn tiếp tục ở đây",Positive,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Tôi đã có một trải nghiệm vô cùng tuyệt vời tại đây, nhân viên chu đáo ân cần. Nếu có dịp tôi sẽ trở lại đây",Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng family suite như diễn tả trên web là 130m2. Nhưng thực tế thì không đúng như vậy, phòng chỉ khoảng 70m2 thôi",,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mình chọn chỗ này vì cái hồ bơi và cái nhà hàng cạnh bờ biển. Mà khổ nỗi là hồ bơi buổi chiều mình tới chưa được dọn dẹp, không bơi được, sáng hôm sau hồ bơi cũng không được tràn viền như review. Nhà hàng với quầy bar cạnh bờ biển không mở cửa mùa mưa. Mọi người lưu ý chỗ này nha. Phòng view biển đẹp, ngắm xuống hồ bơi cũng okela lắm. Nhân viên cũng dễ thương. Free đưa đón sân bay 1 chiều",,,,,,,,Positive,,,,,,,,,,,,,,,,Positive,Negative,,,Negative,Positive,,,,,
"Phòng rất ẩm và mùi, gia đình vào thì đi ra ngay và chọn khách sạn khác… lúc đó là 9h tối rồi nhưng vẫn quyết định đi tìm khách sạn chứ không thể ở lại.",Negative,,,,,,,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,
"Phòng hơi cũ, gối mình nằm còn mũi ẩm, năm ở trung tâm với nhìn xuống phố rất ok",,,,,,,,Positive,,Negative,,,,,,,,Negative,,,,,,,,,,,,Positive,,,,
Trải nghiệm OK..,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khách sạn phục vụ rất kém . Thái độ nhân viên bất lịch sự, không phục vụ tốt cho khách hàng . Phòng ốc dơ bẩn không dọn dẹp kĩ. Đồ ăn lèo tèo rất chán . Nói chung lạ là cực kì tệ. Hình ảnh trên app không giống ngoài",Neutral,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,Negative,,,Negative,Negative,
"resort nằm ven theo hồ tuyền lâm, đường vào quanh co, khúc khuỷu, đi tối rất nguy hiểm. resort to, có view hồ siu đẹp, phòng ở đa số theo villa, phòng to đep, sạch sẽ tiện nghi, có máy sưởi. resort có hồ bơi, đi lại thì đi xe điện vì đường xa, dốc. nhân viên phục vụ tốt, nhanh nhẹn, nhiệt tình, đồ ăn tạm ổn, ít món, giá ok. có khu wonderland tham gia vui chơi, đi thuyền hồ, cửi ngựa, đua xe, bắn cung, nhà ma, nhà tuyết,.... mình nghỉ dưỡng giỗ tổ cũng khá đông nhưng thoải mái vì resort rất rộng.",Positive,,Positive,,Positive,,Negative,,,Positive,Positive,Positive,,,,,Positive,,,,,,,Positive,,,,,Positive,,Positive,Neutral,Negative,
phòng sạch sẽ. mà cách âm không được tốt lắm.,,,,,,,,,,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,
"Bể bơi dơ, không long lanh như trên hình, cửa sổ không đóng được, ăn sáng tệ, nói chung là không hài lòng với mức giá đó lắm, tầm 500k-700k/ đêm thì hợp lý",,Negative,,,Negative,,,,,,,,,,,,,,,Negative,,Negative,,,Negative,,,,,,,Negative,,
"Khách sạn phù hợp với du lịch gia đình, nhân viên chu đáo, buffee sáng đa dạng, vị trí gần các điểm chơi. Nếu nhà có trẻ con khá thích hợp để cư trú.",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,Positive,
Chưa có chỗ để xe hợp lí. Mọi thứ còn lại tốt!,Positive,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,
"Mọi thứ khá ổn nhưng bữa tối đã bao gồm trong giá phòng không được chọn món trước, món nghêu còn nhiều cát.",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,Negative
"Khách sạn oke, lễ tân phục vụ nhiệt tình",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
Máy lạnh cần cải thiện. Phòng rất nóng mặc dù đã báo lễ tân để cải thiện. Sau khi bơm gas vẫn không mát hơn,,,,,,,,,,,,Negative,,,,,,,,Negative,,,,,,,,,,,,,,
Phòng sạch sẽ tiện nghi. Buffet mùa dịch nhưng vẫn đầy đủ.,,,,,,,,,,,Positive,,,,Positive,,,,,,,,,,,,,,,,,,Positive,
"Thích thú và đáng sử dụng, thích nhất hồ bơi nước nóng.",Positive,,,,Positive,,,,,,,,,,,,,,,,,,,Positive,,Positive,,,,,,,,
"Cách âm hơi tệ, Khuya các phòng khác đi chơi về ồn ào.",,,,,,,,,,Negative,,Negative,,,,,,,,,,,,,,,,,,,,,,
"Nhân viên thân thiện, tận tình. Vị trí đẹp, thuận tiện ngay tại trung tâm thành phố.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Khách sạn không gian đẹp, sạch sẽ. Nhân viên nhiệt tình, dễ thương.",,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng sạch sẽ, không gian thoáng đãng, bãi biển đẹp, bữa sáng đa dạng nhưng hình như ông đầu bếp người Tây không làm ở đó nữa nên các loại bánh không được ngon như những lần trước mình đến. Nhân viên các bộ phận lễ phép, lịch sự lúc nào gặp cũng cúi đầu chào. Lúc mình ở bể bơi có bị chảy máu cậu nhân viên bể bơi tên Kha cũng nhanh chóng giúp mình băng lại",,,,,,,,,,,Positive,Positive,,,,,,,,,,,,Positive,,,,,Positive,,,Negative,Positive,
"khách sạn có vị trí gần chợ trung tâm nên rất thuận tiện đến các dịch vụ ăn uống đặc sản ĐL, phòng nghỉ sạch sẽ, lễ Tân nhiệt tình, rất hài lòng khi nghỉ tại đây.",,,,,Positive,,,,,,Positive,,,,,,,,,,,,,,,,,,Positive,Positive,,,Positive,
"Khách sạn mới, phòng đẹp, nhân viên phục vụ nhiệt tình lắm ạ ngay gần chợ đêm nên tiện việc đi lại. Nếu quay lại nhất định sẽ chọn khách sạn ạ",Positive,,Positive,,,,,,,Positive,,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Cảnh đẹp, không khí trong lành, thức ăn ngon, giá phòng hợp lý",Positive,,Positive,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,Positive,,
ở 2 đêm nhưng không có nhân viên đến dọn phòng!,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,Negative,,,,,
"Đồ ăn sáng không ngon, ép khách mua voucher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,
Mọi thứ tại khách sạn đều tuyệt vời!,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rất tuyệt. Cảnh đẹp và dịch vụ rất tốt!,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khách sạn đẹp, phòng sạch sẽ, ăn sáng ngon, có điều từ trung tâm vào hơi xa, thích hợp nghỉ dưỡng",,,Positive,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,Negative,,Positive,,
"Khách sạn sạch, đẹp, bể bơi rộng, trung tâm, tiện nghi. Nhân viên nhiệt tình.",,,Positive,Positive,Positive,,,,,,,,,,,,,,,,,,,Positive,,,,,Positive,Positive,,,,
"Giá rẻ nhưng chất lượng thì tệ hơn mức cho phép. Ảnh thì đẹp thôi nhưng ờ ngoài tệ, phòng cũ. Những nhu cầu thiết yếu nhất khăn, bàn chải không có. Xin 20 phút mới mang lên. Thiết bị WC thì hỏng ",Negative,Positive,,,,,,Negative,,Negative,,,,,,,Negative,,,Negative,,,,,,,,,Negative,,,,,
"Khách sạn sạch sẽ, ngay trung tâm. Nhân viên nhiệt tình hỗ trợ nhận phòng. Đặt phòng dịp Valentine còn được tặng quà 🥰",,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Phòng sạch sẽ,nhân viên thân thiện,tư vấn nhiệt tình",,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
Anh chủ nhiệt tình lắm service ổn phòng ổn nhưng điểm trừ wifi quá yếu mình ở lầu 3 mà bắt không chạy nổi,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,Negative,,Positive,,,,,
"phòng thì mình đặt 1 giường nhưng vào thì 2 giường. này thì cũng ok. không sao máy gì đó trong toilet hay kêu nhưng nếu tắt công tắc thì tạm ổn. phòng sạch sẽ nhưng cách âm chưa tốt lắm vì vẫn nghe tiếng của khách ở bên ngoài (mình cứ bị gõ cửa kêu hoài bởi mấy bác phòng kế bên vì lộn phòng =.=, khá là bực mình và ồn ào). Về phần buffet sáng thì tạm ổn. các nhân viên rất thân thiện",,,,,,,,Positive,,Negative,Positive,Negative,,,,,,,,,,,,,,,,,Positive,,,Neutral,,
"Bình thường. Vị trí tốt gần hồ Xuân Hương và chợ Đà Lạt Thiết kế nhà đẹp như hình Nhà nghỉ mới tân trang lại thì phải, đồ dùng thiết bị ít cỡ nhà nghỉ bình dân. Cốc súc miệng phòng 2 người mà chỉ có 1 cốc. Khăn chỉ có khăn tắm không có khăn mặt. Không có xà phòng rửa tay. Cũng không có điều hoà gì nên nhìn chung bình thường.",Neutral,,Positive,,,,,,,,,,,,Negative,,Negative,,,,,,,,,,,,,Positive,,,,
"khách sạn đẹp, mới. gần lẩu gà tao ngộ với kokoro.",,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,
"ổn nha, tính ra 1 đêm 1 triệu so với chất lượng quá ổn",Positive,Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phòng quá ẩm, mùi ẩm mốc.",,,,,,,,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,
"Khách sạn tương đối sạch sẽ, phòng thoáng. Tuy nhiên nước phòng tắm quá yếu, đã báo quản lý nhưng vẫn không khắc phục được, nếu bỏ qua vấn đề này thì mọi thứ còn lại khá tốt.",Positive,,,Positive,,,,,,Positive,,,,,,,,,,Negative,,,,,,,,,Negative,,,,,
"Phòng tốt, phục vụ nhiệt tình, rất tốt",Positive,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Nhà nghỉ sạch sẽ, sáng đẹp, nhân viên nhiệt tình",,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn sạch sẽ, phòng thoải mái. Wifi hơi kém. Ban đêm khá đông xe nhưng không có nhân viên hỗ trợ sắp xếp, sáng khách phải tự dắt xe rất khó khăn.",,,,Positive,,,,,,,,Positive,,,,,,,,,,,,,,,Negative,,Negative,,,,,
"Tuyệt vời, đáng để quan tâm, ok",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khách sạn 3 sao cách âm quá kém, mình ở tầng 3 đóng kín cửa và rèm nhưng xe or tiếng nói ngoài đường vẫn nghe rõ. (đã phản ánh và không được giải quyết) khách sạn không cho khách để xe trong nhà, bắt khách phải đi gửi xe chỗ khác viện lý do là khách sạn hết chỗ để xe (vì phải để xe nhân viên và xe máy mà khách sạn cho khách thuê) mặc dù vẫn chỗ trống. Gọi quản lý để complaint dịch vụ thì nói được 2 câu quản lý cúp ngang, gọi 2-3 lần đều cúp ngang như vậy khăn tắm mà cứ ngỡ đâu khăn lau chân, lần đầu tiên ở khách sạn mà thấy khăn tắm đen xì và cũ như vậy dịch vụ khách sạn thực sự rất tệ so với giá tiền bỏ ra 1 đêm là hơn 700k ( tệ từ chất lượng khách sạn đến quản lý) lần đầu cũng như là lần cuối mình book khách sạn này.",Negative,Negative,,,,Negative,,,,Negative,,,,,,,,Negative,,Negative,,,,Negative,,,,,Negative,,,,,
"Phòng rộng đẹp, nhân viên rất nhiệt tình, nhất là bác bảo vệ mang đồ lên tận nơi. Phòng sạch sẽ, mới. Rất ưng. Giá cả hợp lí. Nếu có dịp quay lại chắc chắn sẽ lại ở đây. Vị trí ở trung tâm đi lại rất thuận tiện. mọi người nên lưu trú tại đây.",Positive,,,,,,,Positive,Positive,Positive,Positive,Positive,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Chỗ ở sạch sẽ, yên tĩnh, thiết kế đẹp, phòng y như hình, phục vụ khá tốt. Có không gian bàn ghế ở dưới đề uống cafe hay order đồ ăn, chỗ để xe rộng. Nhưng nhà vệ sinh có chút vấn đề với vòi nước bồn cầu.",,,,,,,,Positive,,Positive,Positive,Positive,,,,,,,,Negative,,,,Positive,,,,,Positive,,,,,
"Khách sạn tuyệt vời, có dịch vụ đưa đón từ sân bay.",Positive,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,,,,,,
"Kỳ nghĩ tuyệt vời. View đẹp, không gian yên tĩnh, dễ chịu, phòng rộng và sạch sẽ",Positive,,,,Positive,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,
"Khách sạn rất đẹp, ăn sáng rất ngon, đúng đẳng cấp Vinpearl.",,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,
"Khách sạn ổn, rất gần trung tâm, sạch sẽ và lễ tân nhiệt tình, dễ mến.",Positive,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Khách sạn thật sự rất xinh, tiện nghi. Vậy là sau này lên Đà Lạt không cần phải tìm ở đâu nữa vì mình tìm được khách sạn yêu thích nhất rồi 👌🏻",Positive,,Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khách sạn siêu nice nhânviên dễ thương hỗ trợ nhiệt tình, còn được hỗ trợ checkin sớm nữa Gần chợ thuận tiện đi lại",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"khu lưu trú khá là tốt, có xe bus đưa vào hội an theo các khung giờ rất tiện lợi. Khu nghỉ có khuôn viên đẹp ngay sát bãi biển.Tuy nhiên phòng có vẻ cũ và khu nghỉ hơi cũ, nếu các tiện ích siêu thị quán aen được mở lại chắc chắn đây vẫn là lựa chọn của mình cho lần tiếp theo.",Positive,,,,,,,,,Negative,,,,,,,,,,,,,,Positive,,,,,,,,,,
"Khách sạn mới nhưng sạch sẽ, yên tĩnh, nhân viên thân thiện dễ gần, ăn sáng tương đối ngon, giá cả phù hợp với chất lượng",,Positive,Positive,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,,
Rất đáng tiền bỏ ra. Không gian rộng rãi thoáng mát. Bữa ăn sáng đa dạng ngon miệng,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,
"khách sạn dịch vụ tốt, nhân viên thân thiện, đưa đón sân bay cố định theo giờ mặc dù sát bên sân bay tầm 10p xe hơi. có yêu cầu đón ở sân bay bạn nên chủ động gọi số khách sạn để họ sắp xếp. tối hơi vắng vẻ và rất thiếu ánh sáng, từ ngoài đường vô tới khách sạn đều tối om. đi xe máy từ đây vô thị trấn chơi tầm 20p xe máy, phù hợp nghĩ dưỡng yên tĩnh hơi bất tiện đi lại nếu cần ăn hàng quán nhiều hoặc đi tới đi lui chứ không phải nằm một chỗ, nên cân nhắc",Positive,,,,Positive,,Negative,,,,,,,,,,,,,,,,,,,,,,Positive,Negative,,,,
"Phòng đẹp sạch sẽ , nhân viên dễ thương nhiệt tình",,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
"Một nơi nghỉ dưỡng khá ổn, phù hợp với giá tiền trung bình, với mình thì mọi thứ đều ổn, trừ 1 thứ ở đây là vẫn có muỗi.",Positive,Positive,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
